Titulo,Fecha_Envio,Fecha_Revision,Resumen,Nombre_Topico,Autores,Revisores,Valoraciones,Comentarios
Consequatur impedit iste debitis nihil quae dicta.,2023-09-16,2023-11-09,Dolorum porro tenetur recusandae. At provident odio assumenda. Quas voluptate nostrum cum mollitia aliquam.,Gestion de Proyectos|Redes Neuronales,9000007-1|Adela Colon|ecorrea@example.com,"9000026-3|Mtro. Ines Candelaria|menchacavirginia@example.com, 9000095-0|Vicente Hinojosa|adelamiranda@example.com, 9000190-8|Alejandro Lozada|alvarofeliciano@example.org",53|61|60,Numquam ducimus itaque sequi molestiae ab.|Dolores nihil labore illum aspernatur nobis doloribus molestias nulla nam repudiandae aliquid.|Animi expedita corporis adipisci neque nobis ex.
Aliquid impedit debitis perferendis.,2024-08-19,2024-09-24,Non et minima voluptatum explicabo consectetur. Libero quas libero repellat sunt doloremque enim.,Compiladores,9000150-K|Mauro Quintana|dulce-maria04@example.com,"9000011-9|Nancy Najera|naranjohoracio@example.org, 9000095-0|Vicente Hinojosa|adelamiranda@example.com, 9000028-9|Isabela Dario Bermudez|tameznayeli@example.org",8|35|98,Accusamus dicta eligendi ratione est magni eum ab.|Exercitationem quam nulla adipisci cupiditate ex excepturi perferendis totam reiciendis.|Laboriosam occaecati tempora modi ex quos impedit.
Rerum error quam et.,2025-03-21,2025-04-08,Dignissimos placeat reiciendis. Architecto corrupti sapiente excepturi fugiat modi. Necessitatibus harum nisi sint.,DevOps|Testing de Software,9000232-8|Rene Olivares Romero|morahector@example.com,"9000076-K|Sessa Manuel Laureano Baez|palominojose@example.net, 9000249-K|Lic. Oscar Ojeda|fernandorincon@example.com, 9000061-K|Mateo Feliciano|ines40@example.org",19|57|68,Ipsam ad laboriosam magnam deleniti unde quasi.|Est eveniet quo atque voluptatem maiores voluptatibus dignissimos alias harum sint blanditiis.|Ut porro nisi assumenda iure aliquid maxime omnis est.
Quis odit distinctio dicta enim minus quo.,2025-03-04,2025-04-09,Corrupti earum accusamus numquam maiores. Molestiae molestias earum velit rem.,Vision Computacional|DevOps,"9000092-3|Diego Hermelinda Alcaraz Tejeda|gerardoarmenta@example.org, 9000055-9|Elena Sisneros Najera|wquintanilla@example.org, 9000181-4|Dalia Marquez Cardenas|marrerorene@example.net","9000011-9|Nancy Najera|naranjohoracio@example.org, 9000087-7|Esmeralda Conchita Ulibarri Suarez|xcarranza@example.com, 9000097-0|Virginia Tirado Cepeda|caridad28@example.com",49|29|99,Occaecati porro ipsum explicabo ex dicta quis repellat aspernatur ullam quisquam necessitatibus at.|Atque est officia quisquam iusto veniam corporis tempore ducimus facilis delectus.|Ratione sunt iste adipisci labore expedita itaque cupiditate quisquam non.
Magni illo quae autem.,2023-04-12,2023-05-30,"Nihil iure nam reprehenderit. Est illo nisi placeat. Quo fugiat laudantium optio at repellendus suscipit temporibus.
Optio iste eos nulla.",Inteligencia Artificial|IoT,"9000211-7|Mtro. Carmen Salas|alcalarenato@example.com, 9000150-K|Mauro Quintana|dulce-maria04@example.com","9000236-7|Mariano Quintanilla Madrigal|rosa05@example.net, 9000206-K|Dr. Oswaldo Archuleta|lorenadel-valle@example.org, 9000060-0|Luis Cardenas|equiroz@example.org",16|64|75,Reprehenderit facere similique sint doloremque praesentium hic et fugit fugit molestias optio labore|Nam sapiente facere impedit enim sit commodi accusamus.|Corporis suscipit omnis voluptate consequatur consequatur.
Similique tempora possimus ut numquam iste.,2025-02-01,2025-02-08,Suscipit at iusto qui vero aspernatur odio. Est amet exercitationem quod iusto maiores iusto quasi.,Desarrollo Web|Realidad Virtual,"9000055-9|Elena Sisneros Najera|wquintanilla@example.org, 9000131-K|Marisol Rolando Ledesma|crespoluisa@example.com, 9000200-6|Angela Rosario Barreto|karinacasares@example.net","9000018-8|Luis Manuel Cervantes Jaime|karina50@example.com, 9000218-9|Horacio Riojas Razo|baezjose-carlos@example.com, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net",60|100|33,Dolorum nulla eius ducimus qui nobis tenetur qui omnis.|Repellat ea praesentium laborum reiciendis similique exercitationem assumenda corporis ut.|Saepe quidem impedit fugit optio quas cumque.
Quasi exercitationem odit quidem blanditiis cumque id.,2023-08-29,2023-09-24,"Quia quibusdam minus fugit provident labore corporis. Accusamus unde ipsum perspiciatis vitae placeat.
Ullam odit vero inventore.",Interaccion Humano Computador|Visualizacion de Datos,"9000279-0|Fabiola Valverde Berrios|ruelasangela@example.net, 9000128-0|Hermelinda Zapata Casarez|montenegrooscar@example.com, 9000049-1|Mtro. Timoteo Pineda|maria-eugenia43@example.com","9000089-4|Humberto Indira Montano|wcedillo@example.com, 9000264-3|Modesto Norma Ontiveros|iglesiasfrancisca@example.net, 9000126-7|Benito Chapa|urbinacristina@example.com",69|4|79,Molestias perferendis rerum accusamus atque aut ipsum dolor eligendi deserunt.|Nulla animi nisi tempora dolor nobis.|Provident blanditiis sequi consectetur omnis tempore necessitatibus.
Tempore possimus ducimus iure.,2023-05-09,2023-06-19,Ullam eius incidunt temporibus quo eum cum. Eius aperiam harum voluptatum.,Bioinformatica,"9000152-1|Pablo Trevino|micaelagaona@example.com, 9000273-7|Perla Carolina Espinosa Peres|ndelgado@example.net, 9000188-7|Marcela Noemi Razo Casarez|espartacobarela@example.com","9000153-4|Mtro. Martin Alfaro|isabel16@example.net, 9000258-K|Blanca Limon|qsoto@example.com, 9000202-8|Rodolfo Rosado de la Rosa|rcordero@example.org",21|88|38,Architecto quas quod accusantium libero officiis.|Ut optio eaque praesentium temporibus nemo.|Provident quo laboriosam illo quas repellat architecto dolorem fugit porro quod commodi.
Vel facere placeat id odio vero at.,2024-07-29,2024-08-19,Modi rerum ipsum voluptatum alias animi ratione. Illo distinctio omnis.,Inteligencia Artificial,9000199-9|Daniel Robles|silviatejeda@example.org,"9000072-2|Teresa Pedro Laureano|socorromadrigal@example.net, 9000017-3|Maximiliano Felipe Palomino Luevano|sbeltran@example.org, 9000234-4|Sergio Luna|natividad88@example.com",18|31|67,Saepe aperiam repellendus beatae nisi nulla aperiam dicta.|Repellat voluptatem perspiciatis eveniet voluptate nemo consequatur saepe recusandae quisquam.|Cupiditate aperiam earum quidem cumque fuga cumque doloribus neque consequatur ratione odio fugiat.
Accusamus laborum ab debitis.,2025-01-26,2025-03-18,Suscipit impedit rem quo possimus dignissimos odit minima. Dolores cupiditate porro nisi quaerat nostrum.,Etica en Tecnologia|Data Warehousing,9000107-7|Bernabe Uribe Cortes|guillermina93@example.net,"9000163-K|Lucas Mireles|mesaandres@example.com, 9000093-K|Ivonne Jeronimo Aguayo Duran|raulpacheco@example.org, 9000089-4|Humberto Indira Montano|wcedillo@example.com",79|87|30,Libero cum ullam amet facilis distinctio dolorum nulla suscipit iste autem amet.|Debitis quos laborum blanditiis tempora quam nihil eveniet dicta perspiciatis eveniet quod.|Dolorem dolores impedit dicta tempora asperiores nesciunt amet ipsa dolor.
Iste harum consequatur quam odio voluptate dicta consectetur.,2023-05-08,2023-05-23,Eligendi beatae iure in. Dolore eos culpa recusandae veritatis temporibus. Voluptas sequi assumenda sequi laudantium voluptatum nihil.,Sistemas Distribuidos|Big Data,"9000036-3|Lic. Amador Valdes|carlosreyes@example.org, 9000226-0|Gabriela Paulina Ceja|marcela71@example.org","9000241-9|Ofelia Muro Barreto|orellanamariano@example.org, 9000256-K|Maria Elena Bustos Galindo|arteagaisabela@example.org, 9000161-8|Minerva Ilse Rosado|rafael44@example.org",36|86|69,Minus laboriosam reiciendis reprehenderit iste dolores nam accusamus quasi veniam consequatur.|Dolores voluptatum accusamus pariatur cum itaque necessitatibus nesciunt voluptate.|Quo soluta illo ratione fuga iure odio similique architecto tempora ex.
Eos quidem praesentium.,2024-05-19,2024-06-17,"Fuga iste magnam repudiandae.
Perspiciatis minus eos numquam reiciendis veniam repellat. Deleniti sunt assumenda hic. Enim vero autem eius.",Analisis de Sistemas,"9000228-1|Rosalia Valle|botellotrinidad@example.com, 9000274-3|Rosario Rebeca Lomeli Quinones|rochahernan@example.net","9000154-6|Guillermo Luis Miguel Abreu|fabiola96@example.org, 9000290-6|Dr. Ramiro Melendez|ysotelo@example.com, 9000141-8|Alta  Gracia Claudio Zuniga|iaragon@example.org",25|49|61,Illum exercitationem officia eveniet nihil possimus sapiente ipsum esse consequatur.|Cupiditate ea laborum voluptas quo aliquid explicabo iste cumque.|Quae eligendi voluptate saepe possimus pariatur corrupti dolores.
Voluptatibus nemo ipsam.,2023-05-01,2023-05-26,Dignissimos provident pariatur voluptatem. Fuga molestiae cum error. Illo libero corporis.,Bioinformatica,"9000046-0|Dr. Martin Salas|falfaro@example.com, 9000296-4|Camilo Cintron|archuletahernan@example.com, 9000199-9|Daniel Robles|silviatejeda@example.org","9000169-2|Marisela Salvador Polanco de la Cruz|cmontoya@example.org, 9000006-2|Blanca Virginia Alvarez|adelamuniz@example.org, 9000129-1|Noelia Robles|fmanzanares@example.org",35|1|72,Nulla dolore facere eveniet non deserunt minima quos quisquam deserunt assumenda.|Perspiciatis vero voluptate hic laudantium nobis maiores animi pariatur id quaerat.|Fuga fuga eligendi expedita voluptate soluta assumenda quas ipsam voluptatibus rem.
Cum quas tempore quas impedit.,2023-11-09,2024-01-07,"Ea veritatis rerum labore.
Debitis tenetur officia adipisci quisquam laudantium. Nisi facere laboriosam ipsa.",Analisis de Vulnerabilidades|Ingenieria del Conocimiento|Estadistica,"9000007-1|Adela Colon|ecorrea@example.com, 9000152-1|Pablo Trevino|micaelagaona@example.com, 9000273-7|Perla Carolina Espinosa Peres|ndelgado@example.net","9000040-6|Cynthia Irene Garza|norma41@example.com, 9000251-5|Noemi Castellanos Linares|cruzgeorgina@example.com, 9000011-9|Nancy Najera|naranjohoracio@example.org",79|32|86,In totam explicabo enim minus vel maiores quisquam delectus atque.|Molestiae sit repudiandae placeat error placeat porro atque.|Expedita corporis consequatur eligendi quod illum ullam cum dolor magnam rerum recusandae nam.
Sapiente quae praesentium rem impedit totam blanditiis.,2024-04-22,2024-06-15,Laboriosam est facere. Suscipit nisi quis exercitationem quae adipisci.,Analisis de Vulnerabilidades|Aprendizaje Profundo|Data Warehousing,9000215-1|Rolando Urrutia Godinez|abrahambatista@example.net,"9000217-0|Sandra Concepcion Barraza Castro|sofia98@example.net, 9000170-5|Maria del Carmen Jose Eduardo Nieto|kbermudez@example.org, 9000067-6|Sonia Aldonza Zambrano Rojo|vanesa99@example.org",4|74|46,Aliquam autem recusandae maiores animi blanditiis ducimus architecto pariatur quidem quos.|Dignissimos temporibus delectus expedita at sapiente velit veniam expedita cum magnam quas doloribus|Architecto reprehenderit quis minus quaerat vitae cupiditate quidem a quas unde ullam sed.
Facilis nihil ipsam vero debitis explicabo fugit.,2023-09-13,2023-10-04,Dolorem beatae voluptates commodi beatae consequatur quis. Nam aliquam eveniet blanditiis eligendi.,Machine Learning|Seguridad Informatica|Computacion Grafica,"9000073-5|Angelica Gonzalez|socorro93@example.com, 9000086-2|Emilia Tania Jaime Santiago|dheredia@example.org, 9000030-0|Juana Arellano Rodrigez|elvirarincon@example.com","9000019-9|Lic. Ofelia Berrios|vmarin@example.com, 9000025-6|Lic. Oliver Najera|vallebruno@example.org, 9000062-3|Sr(a). Alicia Bonilla|velazquezgabino@example.net",67|64|34,Dicta sapiente illo doloremque incidunt libero quisquam quisquam nisi quidem.|Explicabo pariatur veniam voluptates maiores corporis iste commodi laudantium doloremque velit.|Aut amet architecto perspiciatis voluptas fugit.
Corrupti numquam atque asperiores quibusdam quisquam.,2024-08-03,2024-10-01,Eos libero magnam molestiae repellat. Molestias veritatis adipisci inventore totam fugit et. Ipsam alias debitis optio quod suscipit.,Ingenieria de Software,"9000199-9|Daniel Robles|silviatejeda@example.org, 9000297-7|Teresa Maria Luisa Corral Puga|octaviojiminez@example.net","9000009-8|Ing. Yolanda Moreno|osorioalma@example.com, 9000161-8|Minerva Ilse Rosado|rafael44@example.org, 9000172-8|Ing. Aldonza Jaramillo|duenasgeorgina@example.net",18|96|28,Quisquam eligendi aperiam nihil consectetur facilis repellat nesciunt quisquam numquam.|Atque exercitationem facere expedita optio dolorum officia nihil tenetur aperiam.|Beatae cumque modi alias omnis in maiores in accusantium.
Nihil voluptates fugiat hic nemo repellat aut.,2024-06-24,2024-08-18,Libero repellat pariatur cumque error voluptas. Libero sed ratione saepe modi.,Automatizacion de Procesos|Data Warehousing|Sistemas Embebidos,"9000261-6|Paulina Menendez|maria-elena44@example.com, 9000188-7|Marcela Noemi Razo Casarez|espartacobarela@example.com, 9000294-0|Samuel Ybarra|octavioolivares@example.com","9000196-2|Raul Emiliano Barrientos|rodrigogalvez@example.org, 9000039-1|Victor Soledad Cano|cecilia05@example.net, 9000244-7|Paulina Rodriguez|fernandoybarra@example.org",15|58|47,Labore distinctio recusandae officiis error rem inventore molestiae dicta illo numquam iste.|Debitis accusantium provident sint nemo distinctio vitae quia iusto vel minus nostrum quisquam.|Vel quas animi dicta iure dolores quia quisquam sapiente illum similique.
Odio sapiente eaque enim.,2024-06-28,2024-08-05,"Porro doloremque dolores corrupti adipisci. Iure nam ipsa officia alias.
Consequatur ea rem omnis debitis. Vitae laborum accusantium.",Ingenieria del Conocimiento|Data Warehousing|Ingenieria de Software,"9000178-0|Maximiliano Geronimo Villalpando|benito34@example.org, 9000106-K|Mario Lorenzo Espinal|calderonvictoria@example.com","9000175-9|Alicia Indira Camacho|clemente20@example.com, 9000267-8|Ing. Juan Ortega|clemente40@example.com, 9000105-3|Mtro. Adriana Delgado|amelia26@example.net",79|71|41,Ut maxime repudiandae veniam ut dolorum sunt dolores commodi rem eveniet nesciunt.|Rem quia vel dolor autem distinctio earum illum sint animi.|Fugiat veniam et incidunt placeat vitae sunt vel facilis quaerat reprehenderit accusantium.
Alias qui reiciendis amet totam perferendis ducimus harum.,2024-03-29,2024-05-09,Modi dolores ipsam ab. Unde ullam error vel quidem error. Totam occaecati sunt quisquam.,Ciberseguridad|Redes Neuronales|Analisis de Sistemas,"9000194-7|Maria Teresa Dulce Arteaga|juan53@example.com, 9000173-8|Debora Pedro Benavidez|abelardoparedes@example.com","9000009-8|Ing. Yolanda Moreno|osorioalma@example.com, 9000230-5|Jeronimo Veronica Cordero Gracia|concepcionfrancisco@example.org, 9000158-4|Juana Ruben Tamez Lozano|msantiago@example.com",4|38|63,Quis odit delectus ipsam odit a.|Occaecati et aspernatur culpa maiores voluptas rerum quis.|Placeat recusandae eum laboriosam quasi ea porro repudiandae reiciendis dicta impedit delectus solut
Dolore veniam unde officia occaecati tenetur voluptate.,2023-11-01,2023-11-17,Praesentium cumque id inventore ea. Vero cumque necessitatibus accusamus.,Desarrollo Web,"9000146-1|Ana Luisa Ricardo Torres|martinezana-luisa@example.org, 9000066-1|Andres Pacheco Salazar|velazquezsonia@example.net, 9000055-9|Elena Sisneros Najera|wquintanilla@example.org","9000246-3|Reina Lorena Angulo|strejo@example.net, 9000025-6|Lic. Oliver Najera|vallebruno@example.org, 9000004-3|Ivonne Porfirio Navarrete Colon|salvadorsaucedo@example.com",75|95|93,Nulla tenetur fuga placeat itaque ab consequatur eum possimus.|Quae provident quasi ducimus atque animi ex doloremque.|Voluptatum vel voluptas nisi quibusdam aliquid ducimus nulla esse hic.
Consequatur tempora aliquam debitis cumque laudantium.,2023-06-24,2023-08-05,Sequi omnis reiciendis amet corrupti dolorem alias. Cum iusto blanditiis tempora libero.,Blockchain,9000239-2|Alvaro Matias|yolivarez@example.net,"9000018-8|Luis Manuel Cervantes Jaime|karina50@example.com, 9000283-1|Gonzalo Jonas Arreola|georgina15@example.com, 9000192-2|Dr. Sessa Armas|maria-jose00@example.com",88|47|27,Ad perspiciatis perspiciatis hic nihil veritatis saepe corrupti aspernatur rerum.|Iste veritatis nisi ab voluptas omnis veritatis eveniet quasi quasi vero necessitatibus.|Sint reiciendis eligendi reiciendis quia molestias nobis at.
Debitis vitae sint at sequi.,2023-06-16,2023-08-10,Quod eligendi quibusdam omnis blanditiis laudantium. Quasi ullam temporibus nobis facere atque.,Realidad Virtual|Bioinformatica,"9000187-1|Estela Barreto Aparicio|angelica83@example.com, 9000280-K|Carla Elisa Mata|tellodulce-maria@example.org","9000293-6|Ing. Eloy Vega|danielmenchaca@example.net, 9000072-2|Teresa Pedro Laureano|socorromadrigal@example.net, 9000224-1|Catalina Pilar Balderas Villa|yuridia16@example.com",50|35|24,Iusto aspernatur reiciendis error voluptates placeat error dolorum incidunt.|Aliquid asperiores aliquid autem incidunt atque optio necessitatibus ducimus ducimus aspernatur magn|Debitis delectus hic assumenda soluta error nesciunt iste pariatur numquam eaque.
Distinctio aspernatur voluptatem ea.,2024-08-10,2024-08-16,Modi ab blanditiis cupiditate labore porro. Quas esse repellat nulla porro vitae perferendis rem.,Compiladores,"9000043-5|Mtro. Alfonso Cardona|umontano@example.com, 9000121-6|Salma Gabino Armas Rico|ochoaarcelia@example.net, 9000295-6|Claudio Jaimes|fernandovalentin@example.net","9000077-4|Carlos Elvira Chavez|miguelalvarez@example.com, 9000183-0|Hermelinda Carlos Arreola|lourdesreyna@example.org, 9000176-5|Lic. Jos Bueno|pcaraballo@example.com",100|72|26,Deleniti error iure labore accusantium cumque corrupti praesentium vitae iusto similique nesciunt.|Eos repudiandae hic ex aut sed inventore impedit.|Qui nisi mollitia enim laborum laborum nihil nostrum perspiciatis repellendus laborum quaerat.
Accusantium nemo mollitia eaque officia suscipit blanditiis.,2024-03-20,2024-04-25,Quas provident quis libero. Culpa facilis reprehenderit commodi. Ipsa impedit quisquam doloribus repellat.,Analisis Forense Digital,9000144-0|Samuel Segura|olmosreynaldo@example.org,"9000175-9|Alicia Indira Camacho|clemente20@example.com, 9000156-7|Paulina Torres Lopez|cristina25@example.net, 9000109-K|Ing. Marisol Vallejo|soledad52@example.com",100|76|0,Quo quaerat maxime architecto excepturi illo quo.|Aperiam quis optio odit temporibus animi occaecati quae optio maxime eos.|Suscipit praesentium sit quam et exercitationem repudiandae tempore nostrum corporis illo.
